STT,CUS_CIF_NBR,CUS_NM,DTE_OPN_CIF,BRN_OPN_CIF,CUS_GEN,AGE,TINHTRANGHONNHAN,CUS_PHONE,CUS_MAIL,CUS_ADRR,TINHCHATCVHT,TRINHDOHOCVAN,AVG_AMT_3M,CALL_DATE,STATUS_ADV,CUST_BANCASED,SANPHAMBHNTDAMUA,NGAYMUABH,SPDV,PRIORITYFLAG,BRN_MNGT_PRIO,PAYROLLFLAG,DSCTTHEGHINO,DSCTTHETINDUNG,DSCTNOTIENGUI,DSCTCOTIENGUI,DSCTDIGIBANK,AVG_BAL_TA_E12M,AVG_BAL_TM_E12M,AVG_BAL_LN_E12M,SODUTIENGUI,SODUTIETKIEM,DUNOVAY,NHOMNOVCB,MATDT,CHITIEUCHOYTE,CHITIEUCHOGD,CHITIEUCHODULICH,CHITIEUDAUTUCK,LYDOMUABAOHIEM,SCORE,DATIEPCAN,FEEDBACK,NOTE,RMTIEPCAN
11,xxxxxx,DO CAM NHI,6/22/2022,7178,Nữ,40,Độc thân,xxxxxxx237,xxxxxxxxx@gmail.com,"Ba Đình,Hà Nội",Cán bộ văn phòng,Tốt nghiệp phổ thông,31924010, ,Không có,Không,FWD con vuon xa,8/26/2020,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P5B,9603,Có,39232309,187184,18605112852,6051104513,1838202522,92767318,21515933,78842932,29183015,27443941,44165158,2,15/05/2024,54946961,82904667,49065665,81080578,Quan tâm gia đình,72%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
12,xxxxxx,DOAN LINH LAN,4/9/2023,4551,Nam,49,Độc thân,xxxxxxx314,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Đại học,9236943,11/12/2020,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,2/25/2021,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4A,9603,Có,13004024,2693584,515147723,12745543220,517636340,83992755,2066470,52726314,82290259,69668758,63858423,3,15/05/2024,94427483,1544498,32489444,64493087,Quan tâm bảo hiểm,68%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
13,xxxxxx,LE LY CHAU,1/6/2020,4616,Nữ,28,Độc thân,xxxxxxx869,xxxxxxxxx@yahoo.com,"Hà Đông,Hà Nội",Cán bộ quản lý cao cấp,Tốt nghiệp phổ thông,17646373,9/1/2020,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P1,9603,Có,39793329,464121,26598183664,23473448046,1172564104,19158352,66302054,17236991,80398839,38971856,5326632,3,15/05/2024,86663363,82274347,77645389,30802343,Quan tâm bảo hiểm,79%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
14,xxxxxx,DOAN KY ANH,5/5/2020,2367,Nữ,43,Độc thân,xxxxxxx375,xxxxxxxxx@yahoo.com,"Hai Bà Trưng,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Tốt nghiệp phổ thông,15812582, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Don dau thay doi 3.0,1/10/2022,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P7,9603,Không,37654709,1990761,29517935931,10877930770,1007884846,31236557,47829092,4171149,73687917,87561924,19351549,3,15/05/2024,30316664,60621491,62965390,11884883,Quan tâm đến cuộc sống tương lai,77%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
15,xxxxxx,HOANG LAM TUYEN,11/6/2023,4816,Nam,25,Độc thân,xxxxxxx164,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ văn phòng,Cao đẳng,19230870,1/22/2023,Không có,Không,FWD Nang tam vi the,2/5/2022,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5A,9603,Không,16948308,1517779,17815763000,14071823721,62200844,37655700,28693750,51479553,53114839,6731184,78248234,3,15/05/2024,72251175,89658033,47925547,91026180,Quan tâm sức khoẻ,53%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
16,xxxxxx,BUI THANH PHUONG,########,3760,Nam,26,Có gia đình,xxxxxxx591,xxxxxxxxx@outlook.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý cao cấp,Cao đẳng,19428169, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,9/13/2022,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P1,9603,Không,19747178,2630023,16724023236,13121513026,69322491,13175624,63324180,61250930,20930358,18756821,92413916,3,15/05/2024,21256671,18034413,59052725,88857294,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
17,xxxxxx,DANG VAN NGOC,########,4917,Nữ,42,Có gia đình,xxxxxxx476,xxxxxxxxx@yahoo.com,"Cầu Giấy,Hà Nội",Cán bộ văn phòng,Tốt nghiệp phổ thông,19557094, ,Không có,Không,Không có,Không,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5B,9603,Không,5260558,845396,4535667772,24807297714,1870320325,73691394,63571315,64617667,612082,46794204,96273254,3,15/05/2024,26465222,39857720,20932535,3862773,Quan tâm sức khoẻ,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
18,xxxxxx,DO DUYEN MY,3/24/2021,6640,Nam,33,Có gia đình,xxxxxxx563,xxxxxxxxx@yahoo.com,"Tây Hồ,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Trung cấp,35333231,12/16/2023,Không có,Không,FWD Don dau thay doi 3.0,7/17/2022,Khách hàng có thẻ tín dụng quốc tế; Tiền gửi không kỳ hạn,P5,9603,Có,31451175,1714758,4455194680,6609131402,589523233,49709804,58775998,48518612,29880301,16920558,31826972,1,15/05/2024,26082966,13047749,12830140,17264892,Quan tâm sức khoẻ,56%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
19,xxxxxx,TRAN LE THANH,2/7/2020,5154,Nữ,42,Có gia đình,xxxxxxx123,xxxxxxxxx@yahoo.com,"Hà Đông,Hà Nội",Cán bộ quản lý sơ cấp,Đại học,10139217,2/2/2020,Đồng ý gặp mặt,Có,Không có,Không,"Khách hàng có thẻ ghi nợ quốc tế; Tiền gửi không kỳ hạn; Khoản vay BĐS, Khoản vay ô tô",Không có,Không có,Không,3296362,2240699,19405371212,1100187319,1844237887,3688218,98614261,53491249,86401425,82903952,74873527,3,15/05/2024,63496392,43767183,21779055,78858706,"Quan tâm đến sức khỏe (làm đẹp, thể thao), quan tâm cuộc sống tương lai (mua nhà, mua xe)",80%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
20,xxxxxx,BUI PHUONG CHI,8/17/2021,4598,Nam,25,Có gia đình,xxxxxxx114,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao đẳng,18114805,3/22/2020,Không có,Không,FWD Don dau thay doi 3.0,9/11/2020,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P4A,9603,Có,11011539,1535661,12904703763,24394044511,921585770,8160239,95342407,36651834,88322023,90261928,88699718,1,15/05/2024,77501205,49947246,13051555,57408108,Quan tâm sức khoẻ,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
21,xxxxxx,NGUYEN THU HONG,12/4/2023,9076,Nữ,52,Độc thân,xxxxxxx304,xxxxxxxxx@outlook.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý cao cấp,Trung cấp,24982473, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Nang tam vi the,6/14/2022,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P5,9603,Có,19218269,832836,13762823598,3166064404,1466263330,95248501,24152447,80830671,24429559,41134600,22372594,3,21/07/2023,79701153,3547174,20690254,63681231,Quan tâm bảo hiểm,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
22,xxxxxx,TRUONG BICH THAO,9/26/2021,2993,Nữ,21,Có gia đình,xxxxxxx191,xxxxxxxxx@gmail.com,"Tây Hồ,Hà Nội",Cán bộ quản lý cao cấp,Trung cấp,6978496,4/23/2022,Không có,Không,FWD Nang tam vi the,11/27/2020,Khách hàng có thẻ ghi nợ nội địa; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4B,9603,Có,15749653,279197,8265257733,2225466648,734049212,91800597,63441345,34969433,77291279,85039463,62942309,3,21/07/2023,10165812,93322524,15056163,62391574,Quan tâm gia đình,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
23,xxxxxx,TRUONG SONG LAM,4/26/2023,6160,Nam,24,Có gia đình,xxxxxxx175,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ quản lý cao cấp,Trung cấp,35206784, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P5A,9603,Có,16033532,194675,8023253033,26595631883,1410001942,31873900,8599722,41956574,28976413,18997727,54300935,2,21/07/2023,82138261,70331685,89116581,56160430,"Quan tâm đầu tư, tài chính",66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
24,xxxxxx,VU MINH THUONG,7/14/2022,1422,Nữ,40,Ly dị,xxxxxxx646,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý sơ cấp,Cao đẳng,28561336,5/14/2022,Không có,Không,FWD con vuon xa,2/18/2020,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,Không có,Không có,Có,10412830,1138703,25542665205,12095489072,594659399,45312999,41054308,10889468,87507249,28224612,76037507,2,21/07/2023,96602681,82441510,24948622,54230729,Quan tâm gia đình,79%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
25,xxxxxx,DO TRUC SINH,3/6/2022,5105,Nam,44,Có gia đình,xxxxxxx638,xxxxxxxxx@gmail.com,"Cầu Giấy,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,14010012,1/20/2022,Không có,Không,FWD Nang tam vi the,7/12/2022,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5B,9603,Có,20374320,1311463,9056695012,19886034232,778644791,32524505,88035408,63728603,77280144,23942546,32437579,3,21/07/2023,41164235,86856824,19889727,95982201,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
26,xxxxxx,BUI VIET NHAN,1/16/2021,8174,Nam,59,Có gia đình,xxxxxxx286,xxxxxxxxx@yahoo.com,"Tây Hồ,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,30735334,9/6/2023,Đồng ý gặp mặt,Có,FWD Nang tam vi the,6/5/2022,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P7,9603,Không,20978632,65691,7327483610,19867562846,244001024,87634243,5818481,96465849,74198822,33477036,26132370,2,21/07/2023,50208012,11429336,67717238,22604249,Quan tâm sức khoẻ,51%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
27,xxxxxx,VO TAM NHU,1/8/2022,8500,Nữ,46,Độc thân,xxxxxxx361,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý cao cấp,Đại học,39094611,10/9/2023,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,2/21/2020,Khách hàng có bảo hiểm; Thẻ tín dụng quốc tế; Thẻ ghi nợ quốc tế; Tiền gửi tiết kiệm,P7,9603,Không,24503740,551656,13782502666,14403891340,527083543,60274929,65146121,80308549,67704582,74276444,77400428,3,21/07/2023,85254230,6116356,67014191,67414651,Quan tâm gia đình,51%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
28,xxxxxx,LY HOANG KHAI,5/14/2023,8091,Nam,40,Có gia đình,xxxxxxx036,xxxxxxxxx@outlook.com,"Hoàn Kiếm,Hà Nội",Cán bộ văn phòng,Tốt nghiệp phổ thông,36592400, ,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD Don dau thay doi 3.0,7/18/2021,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,Không có,Không có,Không,16732395,2317693,25955925691,7080676713,285361534,19483432,89310377,53238601,53302552,1964729,67774263,3,21/07/2023,18767087,39626928,28950563,99868868,Quan tâm bảo hiểm,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
29,xxxxxx,BUI LINH CHI,########,4413,Nam,41,Độc thân,xxxxxxx518,xxxxxxxxx@yahoo.com,"Tây Hồ,Hà Nội",Cán bộ quản lý sơ cấp,Trung cấp,18275611,3/4/2023,Không có,Không,FWD Don dau thay doi 3.0,1/28/2021,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P5A,9603,Có,23898599,2931791,11776501187,29009571836,603489604,40653980,64525228,70117465,34584678,32990646,85999719,1,21/07/2023,55715843,96144641,93049567,70801012,"Quan tâm đầu tư, tài chính",65%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
30,xxxxxx,DO TO NHI,5/10/2020,5134,Nữ,54,Có gia đình,xxxxxxx953,xxxxxxxxx@yahoo.com,"Hai Bà Trưng,Hà Nội",Cán bộ quản lý cao cấp,Đại học,21390678,1/29/2021,Không có,Không,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P4B,9603,Không,12339953,1393206,5398143595,25306765627,1327321669,82748403,1463974,87066497,45155851,76687047,13200461,3,21/07/2023,2080303,85389986,42622668,33061052,Quan tâm bảo hiểm,51%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
31,xxxxxx,HUYNH THUC TRINH,########,1470,Nữ,36,Có gia đình,xxxxxxx222,xxxxxxxxx@outlook.com,"Ba Đình,Hà Nội",Cán bộ văn phòng,Tốt nghiệp phổ thông,20971552,3/21/2020,Đồng ý gặp mặt,Có,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P3,9603,Có,38710947,683487,27161718196,15443945428,1115384262,33304350,55409928,69387960,5454238,48678230,20098284,2,21/07/2023,90935306,61154269,15642941,1524881,Quan tâm gia đình,77%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
32,xxxxxx,VO LAC PHUC,11/11/2022,2153,Nam,52,Độc thân,xxxxxxx581,xxxxxxxxx@gmail.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Tốt nghiệp phổ thông,37091722, ,Đồng ý gặp mặt,Có,FWD Don dau thay doi 3.0,4/13/2020,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P4A,9603,Có,38711355,38435,10500664346,22083276723,1655632045,11009047,22089155,19041166,37992298,76742607,64601140,3,21/07/2023,54834438,63658158,74358581,45571369,"Quan tâm đầu tư, tài chính",77%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
33,xxxxxx,HUYNH MINH LY,3/28/2023,8774,Nam,36,Độc thân,xxxxxxx571,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý trung cấp,Tốt nghiệp phổ thông,28290237,7/14/2020,Không có,Không,FWD Don dau thay doi 3.0,8/26/2023,Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm; Thẻ tín dụng quốc tế; Thẻ ghi nợ nội địa,P5A,9603,Có,22996054,2861371,29506735310,12820888010,82560315,36755801,80650122,7367992,68917032,69862461,7005199,1,21/07/2023,67409142,4898585,87666993,58502620,Quan tâm bảo hiểm,51%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
34,xxxxxx,DO HAO NHI,9/7/2020,2068,Nữ,28,Ly dị,xxxxxxx220,xxxxxxxxx@outlook.com,"Thanh Xuân,Hà Nội",Cán bộ quản lý sơ cấp,Tốt nghiệp phổ thông,34148712,7/7/2023,Không có,Không,Không có,Không,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P4,9603,Không,36203561,1625021,26227545878,21820817648,1231222397,1822386,61395675,26868580,93005022,37371220,55304496,3,21/07/2023,40034891,14944651,72592991,67636854,Quan tâm đến cuộc sống tương lai,66%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
35,xxxxxx,HO BA THINH,6/7/2021,5570,Nữ,49,Độc thân,xxxxxxx868,xxxxxxxxx@outlook.com,"Hà Đông,Hà Nội",Cán bộ quản lý trung cấp,Đại học,35281266,5/23/2021,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,12/3/2022,Khách hàng có khoản vay SXKD; Tiền gửi không kỳ hạn; Thẻ tín dụng quốc tế,P3,9603,Có,10481003,2794074,4756205026,15937156353,1800312836,37953595,98922991,51650579,7438368,72731962,94841433,3,21/07/2023,89610688,70287529,557442,60208633,Quan tâm sức khoẻ,62%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
36,xxxxxx,VO LAM PHUONG,3/7/2021,6798,Nam,58,Ly dị,xxxxxxx137,xxxxxxxxx@yahoo.com,"Ba Đình,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Cao đẳng,27599954,7/14/2023,Đồng ý gặp mặt,Có,FWD con vuon xa,8/6/2023,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P5,9603,Không,3637730,2519974,2414324585,29683247614,1662340336,15362825,80786997,32889133,95954799,8053756,56205515,3,21/07/2023,94450082,52549334,19047791,23931122,Quan tâm sức khoẻ,79%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
37,xxxxxx,VU QUANG NHAT,10/21/2023,7083,Nam,15,Ly dị,xxxxxxx471,xxxxxxxxx@yahoo.com,"Hà Đông,Hà Nội","Chuyên viên, kinh doanh có đăng ký",Đại học,38791916,5/14/2020,Không có,Không,FWD Don dau thay doi 3.0,1/13/2023,Khách hàng có khoản vay BĐS; Tiền gửi không kỳ hạn,P4A,9603,Không,38716132,2684483,15004306729,7031350548,1810009945,73805696,36435882,84756813,60581026,70590633,48667291,3,21/07/2023,83609894,52860478,48600097,1932088,"Quan tâm đầu tư, tài chính",72%,Chưa tiếp cận,Đồng ý gặp mặt,chưa có,0
38,xxxxxx,TRUONG QUANG DUNG,10/16/2021,1946,Nam,35,Có gia đình,xxxxxxx324,xxxxxxxxx@yahoo.com,"Tây Hồ,Hà Nội",Cán bộ văn phòng,Cao học,28126704,8/5/2021,Khách hàng từ chối – khách hàng không có nhu cầu,Có,Không có,Không,Khách hàng sử dụng autodebit; Tiền gửi không kỳ hạn; Tiền gửi tiết kiệm,P5,9603,Không,18806623,2096056,15614363699,15692918367,765893006,82706807,3750739,45748157,21317065,22679287,69566601,3,21/07/2023,79384738,98283995,9300639,15035098,"Quan tâm đầu tư, tài chính",57%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
39,xxxxxx,VU PHI HUNG,8/30/2020,2977,Nam,28,Ly dị,xxxxxxx143,xxxxxxxxx@gmail.com,"Hoàn Kiếm,Hà Nội",Cán bộ quản lý sơ cấp,Cao học,37728853,9/6/2023,Khách hàng từ chối – khách hàng không có nhu cầu,Có,FWD con vuon xa,12/28/2022,Khách hàng có khoản vay ô tô; Tiền gửi không kỳ hạn; Thẻ ghi nợ nội địa ,P3,9603,Không,25732122,623577,6201019511,26059428359,235293446,56034429,13841935,79536465,42854349,26172285,7152551,3,21/07/2023,58903706,54219665,50585572,78650136,Quan tâm sức khoẻ,66%,Đã tiếp cận,Đồng ý gặp mặt,chưa có,0
